pk_cnae,nu_ordem,cd_ramo_atividade,cnae_dig2,de_ramo_atividade,ramo_atividade,divisao
21493,0,5620104,56,AGENCIAS DE VIAGENS,SERVIÇOS ADMINISTRATIVOS,ALIMENTAÇÃO
21493,1,7911200,79,FORNECIMENTO DE ALIMENTOS PREPARADOS PREPONDERANTEMENTE PARA CONSUMO DOMICILIAR,SERVIÇOS PROFISSIONAIS E TÉCNICOS,"AGÊNCIAS DE VIAGENS, OPERADORES TURÍSTICOS E SERVIÇOS DE RESERVAS"
21494,0,1813099,18,ALUGUEL DE MAQUINAS E EQUIPAMENTOS PARA ESCRITORIOS,PRODUTOS DE AGROPECUÁRIA,IMPRESSÃO E REPRODUÇÃO DE GRAVAÇÕES
21494,1,4751200,47,COMERCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMATICA,SERVIÇOS DE SANEAMENTO BÁSICO,COMÉRCIO VAREJISTA
21494,2,7733100,77,IMPRESSAO DE MATERIAL PARA OUTROS USOS,SERVIÇOS PROFISSIONAIS E TÉCNICOS,ALUGUÉIS NÃO-IMOBILIÁRIOS E GESTÃO DE ATIVOS INTANGÍVEIS NÃO-FINANCEIROS
21494,3,9511800,95,REPARACAO E MANUTENCAO DE COMPUTADORES E DE EQUIPAMENTOS PERIFERICOS,SERVIÇOS DE EDUCAÇÃO,REPARAÇÃO E MANUTENÇÃO DE EQUIPAMENTOS DE INFORMÁTICA E COMUNICAÇÃO E DE OBJETOS PESSOAIS E DOMÉSTICOS
21495,0,2539001,25,COMERCIO VAREJISTA DE BEBIDAS,TELECOM,"FABRICAÇÃO DE PRODUTOS DE METAL, EXCETO MÁQUINAS E EQUIPAMENTOS"
21495,1,4723700,47,COMERCIO VAREJISTA DE GAS LIQUEFEITO DE PETROLEO GLP,SERVIÇOS DE SANEAMENTO BÁSICO,COMÉRCIO VAREJISTA
21495,2,4784900,47,SERVICOS DE ENTREGA RAPIDA,SERVIÇOS DE SANEAMENTO BÁSICO,COMÉRCIO VAREJISTA
21495,3,4930204,49,"SERVICOS DE USINAGEM, TORNEARIA E SOLDA",TRANSPORTE,TRANSPORTE TERRESTRE
21495,4,5320202,53,TRANSPORTE RODOVIARIO DE MUDANCAS,VAREJO,CORREIO E OUTRAS ATIVIDADES DE ENTREGA
21496,0,6311900,63,"TRATAMENTO DE DADOS, PROVEDORES DE SERVICOS DE APLICACAO E SERVICOS DE HOSPEDAGEM NA INTERNET",MINERAÇÃO,ATIVIDADES DE PRESTAÇÃO DE SERVIÇOS DE INFORMAÇÃO
21497,0,4642702,46,COMERCIO ATACADISTA DE ROUPAS E ACESSORIOS PARA USO PROFISSIONAL E DE SEGURANCA DO TRABALHO,ATACADO,"COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS"
21497,1,8599601,85,FORMACAO DE CONDUTORES,SERVIÇOS DE EDUCAÇÃO,EDUCAÇÃO
21497,2,8599604,85,OUTRAS ATIVIDADES DE ENSINO NAO ESPECIFICADAS ANTERIORMENTE,SERVIÇOS DE EDUCAÇÃO,EDUCAÇÃO
21497,3,8599699,85,TREINAMENTO EM DESENVOLVIMENTO PROFISSIONAL E GERENCIAL,SERVIÇOS DE EDUCAÇÃO,EDUCAÇÃO
